Team,MatchesPlayed,YellowCards
Algeria,4,3
Argentina,8,15
Australia,4,5
Austria,4,5
Belgium,6,6
Bosnia–Herzegovina,4,7
Brazil,5,8
Cabo Verde,4,5
Canada,5,11
Colombia,5,8
Congo DR,4,6
Côte d'Ivoire,4,4
Croatia,4,4
Curaçao,3,7
Czechia,3,1
Ecuador,4,8
Egypt,5,12
England,8,8
France,8,6
Germany,4,3
Ghana,4,6
Haiti,3,7
IR Iran,3,6
Iraq,3,4
Japan,4,4
Jordan,3,4
Korea Republic,3,4
Mexico,5,4
Morocco,6,7
Netherlands,4,3
New Zealand,3,4
Norway,6,3
Panama,3,5
Paraguay,5,9
Portugal,5,7
Qatar,3,4
Saudi Arabia,3,6
Scotland,3,5
Senegal,4,3
South Africa,4,5
Spain,8,6
Sweden,4,5
Switzerland,6,8
Tunisia,3,1
Türkiye,3,2
Uruguay,3,5
USA,5,7
Uzbekistan,3,4
