PlayerID,Player,Team,TeamAbbreviation,Position,Passes,PassingAccuracy,Rank
411375,Rodri,Spain,ESP,MF,799,93,1
474973,Pau Cubarsi,Spain,ESP,DF,690,97,2
335999,Aymeric Laporte,Spain,ESP,DF,660,94,3
332847,Leandro Paredes,Argentina,ARG,MF,565,94,4
405841,Marc Guehi,England,ENG,DF,532,97,5
448252,Enzo Fernandez,Argentina,ARG,MF,519,92,6
403049,Ezri Konsa,England,ENG,DF,488,96,7
405178,Manuel Akanji,Switzerland,SUI,DF,479,93,8
430735,Marc Cucurella,Spain,ESP,DF,474,91,9
311558,Granit Xhaka,Switzerland,SUI,MF,470,91,10
423646,Pedri,Spain,ESP,MF,469,90,11
402921,Lisandro Martinez,Argentina,ARG,DF,450,94,12
400721,Achraf Hakimi,Morocco,MAR,DF,449,90,13
481610,Elliot Anderson,England,ENG,MF,445,89,14
389876,Dayot Upamecano,France,FRA,DF,443,92,15
398509,Nico Elvedi,Switzerland,SUI,DF,438,93,16
485740,Neil El Aynaoui,Morocco,MAR,MF,433,94,17
430601,Gabriel Magalhaes,Brazil,BRA,DF,431,96,18
430628,Alexis Mac Allister,Argentina,ARG,MF,430,91,19
431196,Cristian Romero,Argentina,ARG,DF,430,97,19
404645,Sander Berge,Norway,NOR,MF,425,97,21
430144,Pedro Porro,Spain,ESP,DF,420,90,22
441149,Vitinha,Portugal,POR,MF,403,94,24
448360,Brandon Mechele,Belgium,BEL,DF,399,92,25
395113,Ramy Bensebaini,Algeria,ALG,DF,385,93,26
376285,Aissa Mandi,Algeria,ALG,DF,382,93,27
332946,Marquinhos,Brazil,BRA,DF,380,97,28
401378,Jonathan Tah,Germany,GER,DF,375,97,29
386413,Joshua Kimmich,Germany,GER,DF,368,91,30
400716,Martin Odegaard,Norway,NOR,MF,367,88,31
386013,Davinson Sanchez,Colombia,COL,DF,361,90,33
489517,Jan Paul Van Hecke,Netherlands,NED,DF,360,93,34
461788,Marawan Attia,Egypt,EGY,MF,357,88,35
430707,Jules Kounde,France,FRA,DF,353,89,36
402047,Adrien Rabiot,France,FRA,MF,351,92,37
397786,Virgil Van Dijk,Netherlands,NED,DF,347,95,38
433097,Declan Rice,England,ENG,MF,340,92,39
489704,Renato Veiga,Portugal,POR,DF,336,95,40
428882,Rodrigo De Paul,Argentina,ARG,MF,327,92,41
403083,Issa Diop,Morocco,MAR,DF,326,92,42
402021,Remo Freuler,Switzerland,SUI,MF,324,92,43
441307,Azzedine Ounahi,Morocco,MAR,MF,315,89,44
