PlayerID,Player,Team,TeamAbbreviation,Position,AverageSpeed,HighSpeedRuns,Sprints,TotalDistance,DistanceRank,MinutesPlayed
411375,Rodri,Spain,ESP,MF,7.05,1294,318,96233.71,1,819
430628,Alexis Mac Allister,Argentina,ARG,MF,6.23,1024,277,90561.77,2,869
430735,Marc Cucurella,Spain,ESP,DF,6.18,907,363,87986.05,3,857
474973,Pau Cubarsi,Spain,ESP,DF,6.03,816,263,85956.03,4,857
485655,Michael Olise,France,FRA,FW,7.07,1054,388,84499.58,5,719
448252,Enzo Fernandez,Argentina,ARG,MF,5.74,1054,332,82828.98,6,755
335999,Aymeric Laporte,Spain,ESP,DF,5.8,695,204,79572.1,7,824
481610,Elliot Anderson,England,ENG,MF,6.6,1006,282,78697.97,8,713
369419,Harry Kane,England,ENG,FW,5.64,859,260,78564.69,9,732
402021,Remo Freuler,Switzerland,SUI,MF,6.79,1001,213,73750.57,10,654
389876,Dayot Upamecano,France,FRA,DF,5.95,598,228,73611.38,11,740
448202,Jude Bellingham,England,ENG,MF,6.37,947,403,73254.75,12,698
311558,Granit Xhaka,Switzerland,SUI,MF,6.51,1062,210,72775.82,13,673
416081,Julian Alvarez,Argentina,ARG,FW,6.23,787,340,71340.54,14,690
402047,Adrien Rabiot,France,FRA,MF,5.67,816,248,71263.06,15,657
405841,Marc Guehi,England,ENG,DF,5.82,660,203,70981.57,16,761
485740,Neil El Aynaoui,Morocco,MAR,MF,6.69,836,276,70474.7,17,634
430707,Jules Kounde,France,FRA,DF,6.46,834,323,69981.25,18,666
403049,Ezri Konsa,England,ENG,DF,5.65,666,195,69849.14,19,739
448360,Brandon Mechele,Belgium,BEL,DF,6.31,806,227,68409.01,20,651
423646,Pedri,Spain,ESP,MF,7.3,976,291,68013.79,21,565
398680,Ousmane Dembele,France,FRA,FW,6.21,817,274,67502.9,22,648
433097,Declan Rice,England,ENG,MF,5.64,709,233,66754.62,23,622
389867,Kylian Mbappe,France,FRA,FW,5.21,529,250,66726.57,24,769
430751,Mikel Oyarzabal,Spain,ESP,FW,5.93,745,319,65551.23,25,664
411443,Timothy Castagne,Belgium,BEL,DF,7.29,844,335,65175.17,26,546
229397,Lionel Messi,Argentina,ARG,FW,4.53,527,204,64419.37,27,853
484320,Lamine Yamal,Spain,ESP,FW,5.6,559,262,64219.36,28,697
400721,Achraf Hakimi,Morocco,MAR,DF,5.89,624,296,63750.68,29,650
398509,Nico Elvedi,Switzerland,SUI,DF,5.66,611,199,63204.39,30,673
448355,Leandro Trossard,Belgium,BEL,FW,6.77,802,276,63148.76,31,561
404645,Sander Berge,Norway,NOR,MF,5.69,770,192,63083.25,32,554
430144,Pedro Porro,Spain,ESP,DF,4.44,631,283,62981.89,33,640
400716,Martin Odegaard,Norway,NOR,MF,5.86,878,302,62928.93,34,537
405178,Manuel Akanji,Switzerland,SUI,DF,5.6,631,187,62661.14,35,673
402921,Lisandro Martinez,Argentina,ARG,DF,4.66,485,167,62187.63,36,708
401444,Youri Tielemans,Belgium,BEL,MF,5.75,862,256,61812.67,37,538
385306,Andres Cubas,Paraguay,PAR,MF,6.6,756,205,60748.96,38,554
483442,Patrick Berg,Norway,NOR,MF,6.93,797,263,59224.02,39,519
430750,Dani Olmo,Spain,ESP,FW,6.55,849,266,57942.66,40,535
402925,Nahuel Molina,Argentina,ARG,DF,5.14,608,265,57871.18,41,592
431196,Cristian Romero,Argentina,ARG,DF,4.43,415,108,57671.78,42,685
