PlayerID,Player,Team,TeamAbbreviation,Position,AverageSpeed,HighSpeedRuns,Sprints,TotalDistance,DistanceRank,MinutesPlayed,TotalDistanceKm,DistancePer90
395581,Cristian Martinez,Panama,PAN,MF,6.73,319,147,29553.99,338,264,29.553990000000002,10.075223863636364
430831,Ibrahim Sangare,Côte d'Ivoire,CIV,MF,6.63,387,110,33681.96,241,305,33.68196,9.93893901639344
430097,Ryan Christie,Scotland,SCO,MF,7.62,208,53,14260.28,648,114,14.26028,11.258115789473685
404885,Tomas Soucek,Czechia,CZE,MF,7.02,264,57,17938.82,578,152,17.93882,10.621669736842104
332314,Idrissa Gana Gueye,Senegal,SEN,MF,5.81,449,140,39822.15,169,411,39.82215,8.720178832116789
354861,Karim Boudiaf,Qatar,QAT,MF,4.59,205,30,13129.49,667,114,13.12949,10.365386842105265
394456,Fabinho,Brazil,BRA,MF,3.79,117,36,9907.51,747,95,9.90751,9.386062105263159
401893,Nuno Da Costa,Cabo Verde,CPV,MF,5.99,185,86,18105.97,574,180,18.105970000000003,9.052985000000001
479294,Kaishu Sano,Japan,JPN,MF,5.11,411,114,34501.68,233,303,34.50168,10.248023762376237
436537,Musab Aljuwayr,Saudi Arabia,KSA,MF,7.55,326,85,20967.44,507,167,20.96744,11.299817964071856
473113,Eberechi Eze,England,ENG,MF,3.94,325,106,25575.26,421,247,25.57526,9.31892064777328
485347,Tahith Chong,Curaçao,CUW,MF,6.14,293,107,27318.08,390,267,27.318080000000002,9.208341573033708
448252,Enzo Fernandez,Argentina,ARG,MF,5.74,1054,332,82828.98,6,755,82.82898,9.873653245033113
486081,Lukas Cerv,Czechia,CZE,MF,4.24,204,53,18226.25,572,172,18.22625,9.536991279069767
433635,Stephen Eustaquio,Canada,CAN,MF,7.14,897,210,52496.91,59,444,52.49691000000001,10.641265540540543
492716,Morgan Rogers,England,ENG,MF,6.39,608,227,47046.38,94,411,47.04638,10.30212700729927
448364,Amadou Onana,Belgium,BEL,MF,4.31,146,44,13465.81,658,127,13.46581,9.5427
448214,Malik Tillman,USA,USA,MF,6.45,607,215,44391.65,114,415,44.39165,9.627104819277108
405522,Keito Nakamura,Japan,JPN,MF,6.72,497,180,36946.02,207,330,36.94602,10.076187272727273
480966,Laros Duarte,Cabo Verde,CPV,MF,6.95,252,66,21530.22,492,187,21.53022,10.362137967914439
395083,Hwang Heechan,Korea Republic,KOR,MF,6.27,144,62,12925.63,673,123,12.92563,9.457778048780487
423595,Marko Stamenic,New Zealand,NZL,MF,6.52,415,133,32898.29,259,302,32.89829,9.804126158940397
505112,Gessime Yassine,Morocco,MAR,MF,3.33,121,43,11281.33,707,101,11.28133,10.052670297029703
371345,Odiljon Xamrobekov,Uzbekistan,UZB,MF,4.55,161,39,10324.03,731,90,10.32403,10.32403
504502,Sebastian Tounekti,Tunisia,TUN,MF,7.03,146,55,11128.49,711,98,11.12849,10.220041836734694
489688,Yasin Ayari,Sweden,SWE,MF,6.4,434,109,39607.81,173,371,39.60781,9.608363611859838
311558,Granit Xhaka,Switzerland,SUI,MF,6.51,1062,210,72775.82,13,673,72.77582000000001,9.732279049034178
